"x"
"366",3179.34
"367",1467.39
"368",54586.95
"369",1967.21
"370",73.36
"371",1313.11
"372",1222.82
"373",983.6
"374",295.08
"375",491.8
"376",12452.45
"377",733.69
"378",4402.17
"379",17547.54
"380",575.4
"381",4426.22
"382",1663.04
"383",1711.95
"384",2090.16
"385",38152.17
"386",1408.69
"387",1844.26
"388",245.9
"389",1730.38
"390",12393.44
"391",586.95
"392",26188.52
"393",35217.39
"394",44751.38
"395",14086.95
"396",3442.62
"397",195.65
"398",3688.52
"399",11803.27
"400",1746.19
"401",6163.04
"402",4107.54
"403",5282.6
"404",293.47
"405",168.74
"406",195.65
"407",2934.78
"408",1305.97
"409",811.47
"410",354.09
"411",1702.17
"412",745.85
"413",20543.47
"414",3718.03
"415",733.69
"416",1475.4
"417",7642.17
"418",3179.34
"419",1100.54
"420",1239.94
"421",29347.82
"422",6847.82
"423",639.34
"424",3913.04
"425",1335.32
"426",2934.78
"427",2445.65
"428",10622.95
"429",8852.45
"430",4666.3
"431",4695.65
"432",1193.37
"433",1967.21
"434",196.72
"435",339.34
"436",1327.62
"437",11739.13
"438",8852.45
"439",11739.13
"440",14086.95
"441",6406.63
"442",31278.68
"443",9440.21
"444",295.08
"445",1467.39
"446",389.5
"447",97.82
"448",3245.9
"449",366.84
"450",1740.33
"451",1702.17
"452",3179.34
"453",418.03
"454",78.26
"455",5901.63
"456",22304.34
"457",538.04
"458",3662.6
"459",2739.13
"460",737.7
"461",10622.95
"462",1491.71
"463",12326.08
"464",8217.39
"465",4548.91
"466",3081.52
"467",14086.95
"468",190.76
"469",4695.65
"470",113.11
"471",8070.65
"472",1967.21
"473",1313.11
"474",5901.63
"475",14673.91
"476",10441.98
"477",1475.4
"478",17608.69
"479",35409.83
"480",3836.06
"481",122.28
"482",880.43
"483",97.82
"484",4918.03
"485",484.23
"486",3934.42
"487",366.84
"488",1327.62
"489",6603.26
"490",745.85
"491",1229.5
"492",44021.73
"493",2421.19
"494",147.54
"495",1491.71
"496",1327.86
"497",1760.86
"498",5114.75
"499",4918.03
"500",17704.91
